AN_WILTY_EP15_truth1,truth,female
AN_WILTY_EP15_truth2,truth,female
AN_WILTY_EP15_truth3,truth,male
AN_WILTY_EP15_truth6,truth,male
AN_WILTY_EP15_lie14,deception,male
AN_WILTY_EP15_lie16,deception,male
AN_WILTY_EP15_lie17,deception,male
AN_WILTY_EP15_truth20,truth,male
AN_WILTY_EP15_truth23,truth,male
AN_WILTY_EP15_truth24,truth,male
AN_WILTY_EP16_lie2,deception,male
AN_WILTY_EP16_truth8,truth,male
AN_WILTY_EP16_truth9,truth,male
AN_WILTY_EP16_truth10,truth,male
AN_WILTY_EP16_truth12,truth,male
AN_WILTY_EP16_truth14,truth,male
AN_WILTY_EP16_truth16,truth,male
AN_WILTY_EP16_lie17,deception,male
AN_WILTY_EP16_lie20,deception,male
AN_WILTY_EP16_lie21,deception,male
AN_WILTY_EP16_truth22,truth,male
AN_WILTY_EP16_truth24,truth,male
AN_WILTY_EP16_truth26,truth,female
AN_WILTY_EP17_lie1,deception,male
AN_WILTY_EP17_truth5,truth,male
AN_WILTY_EP17_truth6,truth,male
AN_WILTY_EP17_lie9,deception,male
AN_WILTY_EP17_truth10,truth,male
AN_WILTY_EP17_truth11,truth,male
AN_WILTY_EP17_lie13,deception,male
AN_WILTY_EP18_truth1,truth,female
AN_WILTY_EP18_truth2,truth,female
AN_WILTY_EP18_truth4,truth,female
AN_WILTY_EP18_lie9,deception,female
AN_WILTY_EP18_lie10,deception,female
AN_WILTY_EP18_lie14,deception,female
AN_WILTY_EP18_lie15,deception,female
AN_WILTY_EP18_lie18,deception,female
AN_WILTY_EP18_lie20,deception,male
AN_WILTY_EP18_lie21,deception,male
AN_WILTY_EP19_lie1,deception,female
AN_WILTY_EP19_lie2,deception,female
AN_WILTY_EP19_truth5,truth,male
AN_WILTY_EP19_lie7,deception,male
AN_WILTY_EP19_lie8,deception,male
AN_WILTY_EP19_lie9,deception,male
AN_WILTY_EP19_lie12,deception,male
AN_WILTY_EP19_lie15,deception,male
AN_WILTY_EP19_lie18,deception,male
AN_WILTY_EP19_truth20,truth,female
AN_WILTY_EP20_truth3,truth,female
AN_WILTY_EP20_lie6,deception,male
AN_WILTY_EP20_lie7,deception,male
AN_WILTY_EP20_truth11,truth,female
AN_WILTY_EP20_lie12,deception,male
AN_WILTY_EP20_lie15,deception,male
AN_WILTY_EP20_lie16,deception,male
AN_WILTY_EP21_lie1,deception,male
AN_WILTY_EP21_truth2,truth,female
AN_WILTY_EP21_truth3,truth,female
AN_WILTY_EP21_truth4,truth,female
AN_WILTY_EP21_lie5,deception,male
AN_WILTY_EP21_lie6,deception,male
AN_WILTY_EP21_lie10,deception,male
AN_WILTY_EP21_lie13,deception,male
AN_WILTY_EP21_lie14,deception,male
AN_WILTY_EP21_lie15,deception,male
AN_WILTY_EP21_lie17,deception,male
AN_WILTY_EP21_lie24,deception,female
AN_WILTY_EP22_truth1,truth,male
AN_WILTY_EP22_truth2,truth,male
AN_WILTY_EP22_lie6,deception,female
AN_WILTY_EP22_lie8,deception,male
AN_WILTY_EP22_lie10,deception,male
AN_WILTY_EP22_truth13,truth,male
AN_WILTY_EP22_truth14,truth,male
AN_WILTY_EP22_truth15,truth,male
AN_WILTY_EP22_truth19,truth,male
AN_WILTY_EP22_lie26,deception,male
AN_WILTY_EP22_lie27,deception,male
AN_WILTY_EP22_lie28,deception,male
AN_WILTY_EP22_lie29,deception,male
AN_WILTY_EP23_truth1,truth,male
AN_WILTY_EP23_truth2,truth,male
AN_WILTY_EP23_truth4,truth,male
AN_WILTY_EP23_truth5,truth,male
AN_WILTY_EP23_truth6,truth,female
AN_WILTY_EP23_truth9,truth,female
AN_WILTY_EP24_lie2,deception,male
AN_WILTY_EP24_lie3,deception,male
AN_WILTY_EP24_lie4,deception,male
AN_WILTY_EP24_lie5,deception,male
AN_WILTY_EP24_lie6,deception,male
AN_WILTY_EP24_lie7,deception,male
AN_WILTY_EP24_lie9,deception,female
AN_WILTY_EP24_lie10,deception,male
AN_WILTY_EP24_lie16,deception,male
AN_WILTY_EP24_lie17,deception,male
AN_WILTY_EP25_lie2,deception,male
AN_WILTY_EP25_truth4,truth,male
AN_WILTY_EP25_truth5,truth,male
AN_WILTY_EP25_lie7,deception,male
AN_WILTY_EP25_lie10,deception,male
AN_WILTY_EP25_lie11,deception,male
AN_WILTY_EP26_lie1,deception,female
AN_WILTY_EP26_truth2,truth,male
AN_WILTY_EP26_truth3,truth,male
AN_WILTY_EP26_truth4,truth,male
AN_WILTY_EP26_truth5,truth,male
AN_WILTY_EP26_truth6,truth,male
AN_WILTY_EP26_truth7,truth,male
AN_WILTY_EP26_truth8,truth,male
AN_WILTY_EP26_truth9,truth,male
AN_WILTY_EP26_truth10,truth,male
AN_WILTY_EP26_truth13,truth,female
AN_WILTY_EP26_lie14,deception,male
AN_WILTY_EP26_lie15,deception,male
AN_WILTY_EP26_lie16,deception,male
AN_WILTY_EP26_lie17,deception,male
AN_WILTY_EP27_lie2,deception,male
AN_WILTY_EP27_lie3,deception,male
AN_WILTY_EP27_truth7,truth,female
AN_WILTY_EP27_truth8,truth,female
AN_WILTY_EP27_truth10,truth,female
AN_WILTY_EP27_lie11,deception,male
AN_WILTY_EP27_truth15,truth,male
AN_WILTY_EP27_truth16,truth,male
AN_WILTY_EP28_lie2,deception,male
AN_WILTY_EP28_lie4,deception,male
AN_WILTY_EP28_lie6,deception,male
AN_WILTY_EP28_truth7,truth,female
AN_WILTY_EP28_truth8,truth,female
AN_WILTY_EP28_truth9,truth,female
AN_WILTY_EP28_truth10,truth,female
AN_WILTY_EP28_truth12,truth,male
AN_WILTY_EP28_truth14,truth,male
AN_WILTY_EP28_truth16,truth,male
YW_WILTY_EP43_truth2,truth,female
YW_WILTY_EP43_truth3,truth,female
YW_WILTY_EP43_lie2,deception,male
YW_WILTY_EP43_lie3,deception,male
YW_WILTY_EP43_lie4,deception,male
YW_WILTY_EP43_truth4,truth,male
YW_WILTY_EP43_lie7,deception,female
YW_WILTY_EP43_lie8,deception,male
YW_WILTY_EP43_truth6,truth,male
YW_WILTY_EP43_truth7,truth,male
YW_WILTY_EP43_truth8,truth,male
YW_WILTY_EP43_lie13,deception,male
YW_WILTY_EP43_lie14,deception,male
YW_WILTY_EP44_lie1,deception,male
YW_WILTY_EP44_lie2,deception,male
YW_WILTY_EP44_lie5,truth,male
YW_WILTY_EP44_truth1,truth,male
YW_WILTY_EP44_truth4,truth,male
YW_WILTY_EP44_lie6,deception,female
YW_WILTY_EP44_lie7,deception,male
YW_WILTY_EP44_truth5,truth,male
YW_WILTY_EP44_truth7,truth,male
YW_WILTY_EP44_lie11,deception,female
YW_WILTY_EP44_lie12,deception,male
YW_WILTY_EP44_lie15,deception,male
YW_WILTY_EP44_truth12,truth,male
YW_WILTY_EP44_truth13,truth,male
YW_WILTY_EP44_truth15,truth,male
YW_WILTY_EP45_lie3,deception,male
YW_WILTY_EP45_lie4,deception,male
YW_WILTY_EP45_lie5,deception,male
YW_WILTY_EP45_lie7,deception,male
YW_WILTY_EP45_lie8,deception,male
YW_WILTY_EP45_truth2,truth,male
YW_WILTY_EP45_truth4,truth,male
YW_WILTY_EP45_truth5,truth,male
YW_WILTY_EP45_truth6,truth,male
YW_WILTY_EP45_truth7,truth,female
YW_WILTY_EP45_lie10,deception,male
YW_WILTY_EP45_lie12,deception,male
YW_WILTY_EP45_lie13,deception,male
YW_WILTY_EP45_lie14,deception,male
YW_WILTY_EP45_lie15,deception,male
YW_WILTY_EP45_lie16,deception,male
YW_WILTY_EP45_lie19,deception,male
YW_WILTY_EP46_lie3,deception,male
YW_WILTY_EP46_lie5,deception,male
YW_WILTY_EP46_truth4,truth,male
YW_WILTY_EP46_truth10,truth,male
YW_WILTY_EP46_lie8,deception,female
YW_WILTY_EP46_truth12,truth,male
YW_WILTY_EP47_lie3,deception,male
YW_WILTY_EP47_lie4,deception,male
YW_WILTY_EP47_lie5,deception,male
YW_WILTY_EP47_lie8,deception,male
YW_WILTY_EP47_truth3,truth,male
YW_WILTY_EP47_lie12,deception,female
YW_WILTY_EP47_lie13,deception,male
YW_WILTY_EP47_lie14,deception,female
YW_WILTY_EP47_lie20,deception,male
YW_WILTY_EP47_truth6,truth,male
YW_WILTY_EP48_truth4,truth,female
YW_WILTY_EP48_lie2,deception,male
YW_WILTY_EP48_lie9,deception,male
YW_WILTY_EP48_lie10,deception,male
YW_WILTY_EP49_truth1,truth,male
YW_WILTY_EP49_truth3,truth,male
YW_WILTY_EP49_truth6,truth,male
YW_WILTY_EP49_lie2,deception,female
YW_WILTY_EP49_lie3,deception,male
YW_WILTY_EP49_lie5,deception,female
YW_WILTY_EP49_truth7,truth,male
YW_WILTY_EP49_truth8,truth,male
YW_WILTY_EP49_truth9,truth,male
YW_WILTY_EP49_lie6,deception,male
YW_WILTY_EP49_lie8,deception,male
YW_WILTY_EP49_truth10,truth,male
YW_WILTY_EP49_truth11,truth,male
YW_WILTY_EP50_lie3,deception,male
YW_WILTY_EP50_lie5,deception,male
YW_WILTY_EP50_truth1,truth,male
YW_WILTY_EP50_truth2,truth,male
YW_WILTY_EP50_truth3,truth,male
YW_WILTY_EP50_lie8,deception,female
YW_WILTY_EP50_lie10,deception,female
YW_WILTY_EP50_lie14,deception,female
YW_WILTY_EP50_lie15,deception,female
YW_WILTY_EP50_truth12,truth,female
YW_WILTY_EP50_truth15,truth,female
YW_WILTY_EP51_truth1,truth,male
YW_WILTY_EP51_truth2,truth,male
YW_WILTY_EP51_lie3,deception,male
YW_WILTY_EP51_lie4,deception,female
YW_WILTY_EP51_truth4,truth,male
YW_WILTY_EP51_lie7,deception,male
YW_WILTY_EP51_lie8,deception,male
YW_WILTY_EP51_lie9,deception,female
YW_WILTY_EP52_truth1,truth,female
YW_WILTY_EP52_truth2,truth,female
YW_WILTY_EP52_truth3,truth,male
YW_WILTY_EP52_truth4,truth,male
YW_WILTY_EP52_truth5,truth,male
YW_WILTY_EP52_truth6,truth,male
YW_WILTY_EP52_lie2,deception,male
YW_WILTY_EP52_lie3,deception,female
YW_WILTY_EP52_lie6,deception,male
YW_WILTY_EP52_lie7,deception,male
YW_WILTY_EP52_lie8,deception,female
YW_WILTY_EP52_truth8,truth,male
YW_WILTY_EP53_truth1,truth,male
YW_WILTY_EP53_truth3,truth,male
YW_WILTY_EP53_lie1,deception,female
YW_WILTY_EP53_lie4,deception,male
YW_WILTY_EP53_truth9,truth,male
YW_WILTY_EP53_truth10,truth,male
YW_WILTY_EP53_lie10,deception,male
YW_WILTY_EP53_lie11,deception,male
YW_WILTY_EP53_lie13,deception,male
YW_WILTY_EP54_truth1,truth,female
YW_WILTY_EP54_lie1,deception,male
YW_WILTY_EP54_truth3,truth,male
YW_WILTY_EP54_lie2,deception,male
YW_WILTY_EP54_truth4,truth,male
YW_WILTY_EP54_truth5,truth,male
YW_WILTY_EP54_lie4,deception,female
YW_WILTY_EP54_lie8,deception,male
YW_WILTY_EP55_lie1,deception,male
YW_WILTY_EP55_lie2,deception,male
YW_WILTY_EP55_truth1,truth,male
YW_WILTY_EP55_truth2,truth,male
YW_WILTY_EP55_truth3,truth,male
YW_WILTY_EP55_lie4,deception,male
YW_WILTY_EP55_truth7,truth,female
YW_WILTY_EP55_lie9,deception,male
YW_WILTY_EP55_lie10,deception,male
YW_WILTY_EP55_lie11,deception,male
YW_WILTY_EP55_lie12,deception,male
YW_WILTY_EP55_lie15,deception,male
YW_WILTY_EP55_lie16,deception,male
YW_WILTY_EP56_lie2,deception,male
YW_WILTY_EP56_lie5,deception,male
YW_WILTY_EP56_lie11,deception,male
YW_WILTY_EP56_lie13,deception,male
YW_WILTY_EP56_lie14,deception,male
YW_WILTY_EP56_lie15,deception,male
YW_WILTY_EP56_truth2,truth,male
YW_WILTY_EP56_truth4,truth,male
